project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0001,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0002,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Web application development', 'Data Structures and Algorithms']",375000,PLCS0003,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,['Web application development'],375000,PLCS0004,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0005,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0006,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0007,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0008,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0009,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Web application development', 'Data Structures and Algorithms']",375000,PLCS0010,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,['Web application development'],375000,PLCS0011,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0012,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0013,26-07-21,05-05-21
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['Algorithms', 'Data Structures and Algorithms']",375000,PLCS0014,26-07-21,05-05-21
