project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $289205.,"['UI/UX Design', 'Data Analysis']",375000,PLCS0001,2021-07-26,2021-05-05
Build a C++ Programming Project,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $172381.,"['C++ Programming', 'Java Programming']",171000,PLCS0002,2021-10-20,2021-04-28
Design a Java Programming Tool,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $262895.,"['Java Programming', 'Android Mobile App Programming']",150000,PLCS0003,2021-03-14,2021-04-15
Design a UI/UX Design System,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $399053.,"['UI/UX Design', 'Java Programming']",102500,PLCS0004,2021-11-29,2021-04-25
Design a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $107493.,['UI/UX Design'],195000,PLCS0005,2021-06-25,2021-03-30
Design a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $396438.,"['Android Mobile App Programming', 'Web Development']",382000,PLCS0006,2022-10-31,2021-04-10
Build a Web Development App,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 6 months of work and a budget of $85221.,['Web Development'],318000,PLCS0007,2021-07-22,2021-04-11
Build a UI/UX Design App,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $73191.,['UI/UX Design'],365000,PLCS0008,2022-02-06,2021-03-25
Develop a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $40302.,['UI/UX Design'],317000,PLCS0009,2022-11-23,2021-05-04
Build a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $167513.,['Machine Learning'],355500,PLCS0010,2022-03-05,2021-02-24
Build a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $84268.,"['Android Mobile App Programming', 'C++ Programming']",167000,PLCS0011,2022-04-23,2021-03-21
